state_id,party_id,general_votes,postal_votes,total_votes,total_electors
5,164,17093,59,17152,3212226
5,269,10066,37,10103,1060777
5,379,3216,0,3216,515441
6,NULL,7146,12,7158,8124665
6,1,298931,2627,301558,37358623
6,5,866,29,895,1601832
6,18,3201,15,3216,4655345
6,20,11293,69,11362,3126167
6,59,3805,48,3853,1764622
6,80,15187025,62218,15249243,40603104
6,92,46680,276,46956,20517497
6,94,20154,55,20209,6022683
6,106,1715,8,1723,3136232
6,110,242696,1253,243949,37581256
6,123,13249,21,13270,1614106
6,124,9693,9,9702,1512061
6,126,28908,50,28958,1411765
6,150,13716,29,13745,4666937
6,152,3698,24,3722,4980560
6,163,8435583,50500,8486083,39063881
6,164,540239,1767,542006,248540467
6,179,101199,461,101660,18672222
6,228,1378,13,1391,1534400
6,260,238360,2106,240466,1539223
6,269,452813,2072,454885,40603104
6,277,649,4,653,1733972
6,279,686,12,698,1601832
6,324,1248,6,1254,1470952
6,334,2734,20,2754,3142003
6,335,989,1,990,1655717
6,336,895,15,910,1628641
6,345,873,3,876,1496859
6,385,24621,108,24729,16877741
6,394,2244,5,2249,1638321
6,422,2847,33,2880,4834023
7,NULL,6421,12,6433,4918515
7,1,487770,171,487941,16097233
7,6,685,0,685,1740352
7,7,1689,0,1689,1740352
7,25,1314,0,1314,1684321
7,29,620,0,620,1740352
7,31,4198,0,4198,3065967
7,55,479,0,479,1740352
7,75,762,0,762,1498459
7,80,3991553,1974,3993527,12919070
7,92,3428,0,3428,6576776
7,104,7372,0,7372,6615556
7,110,526961,52,527013,16097233
7,123,22068,0,22068,3376745
7,126,21158,10,21168,4652075
7,149,703247,451,703698,3178163
7,158,1952,0,1952,3065967
7,163,2634457,448,2634905,16097233
7,164,191272,6,191278,192411859
7,166,2799166,733,2799899,16097233
7,179,976,0,976,1740352
7,192,2901,0,2901,1660557
7,220,1092,0,1092,1498459
7,224,4396,0,4396,4656692
7,256,2196,0,2196,3343365
7,265,2126,0,2126,3214264
7,269,34213,7,34220,16097233
7,285,916,0,916,1417188
7,304,2096,0,2096,3376745
7,306,6265,0,6265,1473912
7,307,1084,0,1084,1740352
7,308,1296,1,1297,2984696
7,316,259,0,259,1417188
7,321,2654,0,2654,1684321
7,328,923,0,923,1844906
7,333,1665,0,1665,1498459
7,334,1251,0,1251,3101509
7,337,1195,0,1195,1517606
7,349,1429,0,1429,1844906
7,352,1536,0,1536,3101509
7,385,7641,0,7641,4874821
7,394,4254,0,4254,2984696
7,423,2350,0,2350,1660557
8,NULL,995,2,997,1258601
8,1,63221,130,63351,4810071
8,80,1649770,3225,1652995,4810071
8,92,1538,0,1538,2409009
8,110,22915,13,22928,4810071
8,126,25382,17,25399,2303771
8,163,1258344,2133,1260477,4810071
