state_id,party_id,general_votes,postal_votes,total_votes,total_electors
4,509,11584,14,11598,7460817
4,520,12265,5,12270,3497183
4,528,15221,155,15376,5242028
4,533,1604,9,1613,1667253
4,534,9627,1,9628,1925479
4,535,4962,3,4965,3801024
4,544,1813,1,1814,1686215
4,551,3745,33,3778,2089353
4,552,32413,32,32445,13708233
4,554,4193,15,4208,4073191
4,559,12705,32,12737,5397669
4,564,26054,11,26065,5698960
4,565,2633,7,2640,1807768
4,569,7917,27,7944,1704596
4,576,3604,11,3615,1799551
4,604,11665,13,11678,3412437
4,607,955417,1084,956501,5562288
4,628,34749,21,34770,10789252
4,631,97466,165,97631,1884883
4,638,6163,8,6171,3695793
4,641,9243,21,9264,3341956
4,649,13435,32,13467,7460712
4,651,2362,2,2364,1612300
4,654,17935,20,17955,5680165
4,664,3046,18,3064,1752454
4,670,9863,5,9868,1633824
4,671,2380,4,2384,1735983
4,675,9257,21,9278,3376332
4,679,6313,0,6313,1690620
4,682,6249,18,6267,3922577
4,687,4410,3,4413,1654811
4,719,4442,2,4444,2114809
4,736,13234,4,13238,3819405
4,737,11068,13,11081,3782062
4,739,55398,79,55477,15967556
4,744,20364,70,20434,12699121
4,747,5071,3,5074,1792798
4,751,1975,0,1975,1925479
4,753,67717,65,67782,10743776
4,771,1897,10,1907,1829373
4,778,37523,87,37610,12128954
4,781,1413,1,1414,1925479
4,795,2714,4,2718,1735983
4,800,6483,14,6497,3324174
4,802,55294,509,55803,6630680
4,803,2754,2,2756,1799551
4,812,8616,27,8643,3435964
4,822,2360,4,2364,1799551
4,835,6513,1,6514,2114809
4,837,25586,44,25630,1852417
4,849,3975,3,3978,1735983
4,850,15111,21,15132,3514137
4,856,33056,90,33146,14455321
4,886,17851,5,17856,7182911
4,891,42904,15,42919,10728487
4,893,659240,1466,660706,7345813
4,894,29392,0,29392,1679030
4,896,30473,19,30492,7002315
5,1,25624,23,25647,1136113
5,80,435239,1411,436650,1136113
5,163,365686,472,366158,1136113
5,164,7671,6,7677,2272226
5,269,12466,33,12499,1136113
5,377,1761,2,1763,579352
5,792,2804,5,2809,556761
6,8,1032,2,1034,1655870
6,18,5679,3,5682,3368547
6,43,2796,8,2804,3615879
6,47,1052,3,1055,1643317
