state_id,pc_id,general_votes,postal_votes,total_votes,total_electors
0,0,1037720,8119,1045839,1386282
0,1,1018788,3396,1022184,1425355
0,2,1119641,5543,1125184,1550810
0,3,1026505,7419,1033924,1496193
0,4,1090266,4540,1094806,1445354
0,5,1188084,2927,1191011,1536166
0,6,1615846,4598,1620444,3183083
0,7,1002988,781,1003769,1893741
0,8,971226,195,971421,1823217
0,9,1008712,6088,1014800,1418668
0,10,1104967,4001,1108968,1477305
0,11,1180687,8712,1189399,1494343
0,12,1208493,3239,1211732,1492240
0,13,1170723,3908,1174631,1537778
0,14,1120271,4101,1124372,1387288
0,15,1176749,7100,1183849,1440267
1,16,1309409,6453,1315862,2185164
1,17,904075,5539,909614,1272340
1,18,1044876,7239,1052115,1413726
1,19,1115590,4726,1120316,1403736
1,20,1160178,3380,1163558,1723011
1,21,1144120,3952,1148072,1401474
1,22,1093933,6066,1099999,1418290
1,23,1113914,7013,1120927,1357865
1,24,1148963,5418,1154381,1421276
1,25,1083177,5770,1088947,1325028
1,26,1194720,6977,1201697,1427764
1,27,1133270,7795,1141065,1369311
1,28,1188379,7386,1195765,1564513
1,29,1237579,7347,1244926,1572017
1,30,1276157,5901,1282058,1514861
1,31,1177932,6702,1184634,1392964
1,32,1197855,10370,1208225,1470212
1,33,1200607,4349,1204956,1576945
1,34,1062680,3052,1065732,1481791
1,35,1205849,6296,1212145,1536894
1,36,1170783,6474,1177257,1446496
1,37,1189392,11270,1200662,1550440
1,38,1179968,7680,1187648,1606127
1,39,1207418,5644,1213062,1574161
1,40,1153835,4482,1158317,1487791
1,41,1192153,6762,1198915,1451851
2,42,325796,9869,335665,446640
2,43,254968,6323,261291,312704
3,44,885704,1216,886920,1165997
3,45,799746,84,799830,1060175
3,46,542962,318,543280,702230
3,47,1369123,501,1369624,1550166
3,48,1223214,655,1223869,1505472
3,49,1205352,511,1205863,1430188
3,50,1511616,113,1511729,1922270
3,51,1233049,188,1233237,1515676
3,52,980524,164,980688,1259568
3,53,1229709,365,1230074,1523881
3,54,1165909,581,1166490,1457219
3,55,930872,464,931336,1189486
3,56,890824,144,890968,1124305
3,57,1111402,573,1111975,1431080
4,58,899838,289,900127,1456598
4,59,854641,159,854800,1413148
4,60,822648,23,822671,1439253
4,61,842663,231,842894,1485801
4,62,900477,111,900588,1574914
4,63,860348,105,860453,1627832
4,64,941139,110,941249,1668405
4,65,970520,8,970528,1525583
4,66,975804,7,975811,1587332
4,67,928222,268,928490,1438990
4,68,977534,296,977830,1446478
4,69,1017368,364,1017732,1582626
4,70,1034651,148,1034799,1725693
4,71,828325,17,828342,1495445
4,72,948865,22,948887,1551363
4,73,925926,11,925937,1566321
4,74,903561,22,903583,1654838
4,75,884005,16,884021,1563860
4,76,846327,327,846654,1642068
4,77,862465,789,863254,1538740
4,78,903480,1226,904706,1649547
4,79,858905,15,858920,1426217
4,80,863183,16,863199,1504451
4,81,1077365,490,1077855,1778759
4,82,896101,130,896231,1506587
4,83,973953,63,974016,1685339
4,84,899318,35,899353,1549456
4,85,914268,82,914350,1719984
4,86,921648,113,921761,1951967
4,87,879834,2428,882262,1946249
4,88,976815,1834,978649,1736074
4,89,893054,159,893213,1824515
4,90,888132,72,888204,1640671
4,91,845688,1100,846788,1607747
4,92,789800,127,789927,1580558
4,93,811003,513,811516,1423246
4,94,785663,611,786274,1536153
4,95,806922,2456,809378,1501521
4,96,884383,58,884441,1694895
4,97,775597,42,775639,1550936
5,98,405190,1441,406631,515441
5,99,409457,912,410369,545336
6,100,942183,4057,946240,1533782
6,101,883216,3418,886634,1515711
6,102,949679,6120,955799,1628641
6,103,997735,6523,1004258,1498219
6,104,1085970,8032,1094002,1615840
6,105,1128656,6839,1135495,1733972
6,106,980265,5260,985525,1601832
6,107,960475,4134,964609,1534400
6,108,938575,6102,944677,1656657
6,109,1052595,4474,1057069,1655717
6,110,804415,5018,809433,1539223
6,111,849055,3588,852643,1470952
6,112,937481,3897,941378,1485543
6,113,805505,3311,808816,1486286
6,114,912992,4410,917402,1594531
6,115,967179,3715,970894,1496859
6,116,951323,4583,955906,1599476
6,117,926990,6471,933461,1576667
6,118,895311,5070,900381,1411765
6,119,1155656,5921,1161577,1638321
6,120,1094542,6000,1100542,1536305
6,121,1056319,3892,1060211,1417548
6,122,1201712,4467,1206179,1614106
6,123,946507,1415,947922,1484068
6,124,1157014,3733,1160747,1764622
6,125,1118784,3419,1122203,1512061
7,126,1218723,272,1218995,1692424
7,127,1135651,241,1135892,1498459
7,128,1278863,242,1279105,1660557
7,129,1155169,745,1155914,1517606
7,130,1193358,142,1193500,1684321
7,131,985196,442,985638,1417188
7,132,1043651,680,1044331,1567508
7,133,1029717,714,1030431,1473912
7,134,1320287,333,1320620,1844906
7,135,1130671,54,1130725,1740352
8,136,797989,1456,799445,1258601
8,137,725070,1024,726094,1150408
8,138,833087,2118,835205,1247699
8,139,736777,979,737756,1153363
9,140,465979,13,465992,1190766
9,141,312208,4,312212,1207230
9,142,375238,41,375279,1301143
9,143,117164,865,118029,166763
9,144,1041130,628,1041758,1469072
9,145,1251529,2064,1253593,1848155
10,146,1070668,435,1071103,1442206
10,147,1077716,812,1078528,1580895
10,148,1078805,505,1079310,1568633
10,149,966734,23,966757,1622635
10,150,997125,513,997638,1721990
10,151,968513,376,968889,1661606
10,152,959045,339,959384,1600962
10,153,1006210,298,1006508,1535105
10,154,1045448,324,1045772,1487945
10,155,1115458,510,1115968,1558749
10,156,1040430,796,1041226,1578125
10,157,1000437,601,1001038,1450599
10,158,1114494,374,1114868,1522712
10,159,1128267,741,1129008,1562243
10,160,1033051,1057,1034108,1387294
10,161,1146508,664,1147172,1561486
10,162,1207120,354,1207474,1565219
10,163,1096037,462,1096499,1661277
10,164,1100735,749,1101484,1518518
10,165,1191805,833,1192638,1669262
10,166,1157346,2248,1159594,1723134
10,167,1132497,532,1133029,1555781
10,168,1455003,241,1455244,2190398
10,169,1355485,1233,1356718,2401472
10,170,1073957,632,1074589,1931456
10,171,1112914,812,1113726,1998724
10,172,1261451,1823,1263274,1658410
10,173,1125973,1342,1127315,1492977
11,174,972791,1424,974215,1243730
11,175,944739,2378,947117,1170266
11,176,957045,2297,959342,1182504
11,177,914226,780,915006,1249420
11,178,940327,2682,943009,1182484
11,179,852936,531,853467,1198444
11,180,871319,273,871592,1180789
11,181,909416,906,910322,1208726
11,182,926150,1078,927228,1216351
11,183,919557,948,920505,1275288
11,184,883171,862,884033,1150497
11,185,849965,869,850834,1156492
11,186,818597,1169,819766,1158735
11,187,830184,1452,831636,1161465
11,188,994379,3085,997464,1271324
11,189,887180,1880,889060,1252668
11,190,868376,1076,869452,1323906
11,191,875921,3135,879056,1219415
11,192,856507,2843,859350,1251398
11,193,870647,2794,873441,1272748
12,194,854237,42,854279,1702457
12,195,729017,67,729084,1600137
12,196,990230,682,990912,1876965
12,197,974744,1885,976629,1605613
12,198,891772,157,891929,1520322
12,199,765904,417,766321,1528863
12,200,911638,442,912080,1651614
12,201,874283,194,874477,1702833
12,202,913280,164,913444,1458381
12,203,829887,115,830002,1544719
12,204,988619,777,989396,1736048
12,205,967686,832,968518,1561016
12,206,1002132,52,1002184,1711621
12,207,1216914,1604,1218518,1824702
12,208,1111356,2008,1113364,1629741
12,209,1107290,208,1107498,1402038
12,210,1029948,1227,1031175,1568206
12,211,1072447,1026,1073473,1634039
12,212,1130069,113,1130182,1957241
12,213,1009952,772,1010724,1578757
12,214,1142982,988,1143970,1617111
12,215,1015857,548,1016405,1525481
12,216,1160374,975,1161349,1626556
12,217,1080666,2024,1082690,1702576
12,218,1075930,886,1076816,1668441
12,219,1315896,921,1316817,2115303
12,220,1151722,803,1152525,1703272
12,221,1255596,1731,1257327,1759417
12,222,1047231,488,1047719,1607831
13,223,1114384,2292,1116676,1672943
13,224,979230,3853,983083,1675367
13,225,989821,511,990332,1707969
13,226,1008681,532,1009213,1593389
13,227,978392,234,978626,1595435
13,228,977589,902,978491,1672643
13,229,1001063,2998,1004061,1612739
13,230,1012178,1267,1013445,1564552
13,231,1049278,1038,1050316,1677266
13,232,1083604,1434,1085038,1900784
13,233,1196291,905,1197196,1655852
13,234,1026543,586,1027129,1468437
13,235,1108749,994,1109743,1753690
13,236,1031339,1610,1032949,1755292
13,237,1049085,2079,1051164,1586194
13,238,1010265,3085,1013350,1687057
13,239,1161624,609,1162233,1803792
13,240,1065526,733,1066259,1612056
13,241,982480,453,982933,1589395
13,242,969499,683,970182,1530208
13,243,935405,2000,937405,1593774
13,244,992280,338,992618,1578149
13,245,875044,561,875605,1696584
13,246,823598,598,824196,1922034
13,247,1053288,901,1054189,2073251
13,248,945642,920,946562,1783870
13,249,894997,520,895517,1775416
13,250,861110,651,861761,1668357
13,251,844867,425,845292,1737084
13,252,768130,497,768627,1447886
13,253,778666,1075,779741,1485844
13,254,987437,329,987766,1532781
13,255,1173949,386,1174335,1953741
13,256,992799,479,993278,1835835
13,257,1065228,1328,1066556,1813553
13,258,1088650,856,1089506,1824112
13,259,1060551,1767,1062318,1705005
13,260,931954,691,932645,1462267
13,261,1231460,740,1232200,1792652
13,262,1115953,2198,1118151,1759186
13,263,1054533,2623,1057156,1686957
13,264,950051,1150,951201,1702739
13,265,1078173,1446,1079619,1727322
13,266,1042869,3790,1046659,1649107
13,267,975709,972,976681,1719998
13,268,896017,239,896256,1367362
13,269,1258986,1303,1260289,1758293
13,270,1186727,2144,1188871,1630604
14,271,640828,42,640870,855360
14,272,771568,198,771766,919009
15,273,619866,121,619987,980740
15,274,457989,82,458071,586501
16,275,425701,7500,433201,702170
17,276,1038361,549,1038910,1182972
18,277,1042349,350,1042699,1500337
18,278,1007110,86,1007196,1477262
18,279,1040314,204,1040518,1563409
18,280,1040709,53,1040762,1551497
18,281,960600,697,961297,1485286
18,282,1086391,172,1086563,1564721
18,283,1100234,223,1100457,1561201
18,284,1030836,118,1030954,1396957
18,285,1031651,456,1032107,1455075
18,286,1104973,439,1105412,1522111
18,287,1176428,339,1176767,1525289
18,288,1099363,104,1099467,1424743
18,289,1120873,60,1120933,1580273
19,290,1251450,5356,1256806,1718414
19,291,927929,1822,929751,1592355
19,292,1127574,3530,1131104,1753825
19,293,1001539,4926,1006465,1697470
19,294,1060266,5484,1065750,1769882
19,295,1008111,5580,1013691,1700307
19,296,1292068,4738,1296806,1957820
19,297,1059669,2636,1062305,1626442
19,298,959672,2760,962432,1690705
19,299,845077,864,845941,1549468
19,300,928756,1736,930492,1524100
19,301,1043013,625,1043638,1710775
19,302,1153569,2745,1156314,1683261
19,303,1000628,3391,1004019,1678660
19,304,1090396,5191,1095587,1902094
19,305,1071483,7115,1078598,1727791
19,306,1216004,3115,1219119,1680152
19,307,1086928,344,1087272,1824968
19,308,1189166,4036,1193202,1817940
19,309,1169012,2176,1171188,1698244
19,310,1169876,2753,1172629,1819506
19,311,977291,4828,982119,1701194
19,312,1102161,1929,1104090,1754901
19,313,1149769,5191,1154960,1744539
19,314,1146242,122,1146364,1669844
