district,total_rev_from_docs,total_rev_from_challans
Medchal_Malkajgiri,15029903525,15080153526
Hyderabad,14266012441,14374315032
Hanumakonda,2817238587,2846856844
"Yadadri Bhuvanagiri",2167480603,2185270667
Khammam,1971647539,2002220314
