pc_name,party_of_2014,party_of_2019,%difference
Alipurduars,AITC,BJP,107.15
Ghazipur,BJP,BSP,84.43
Sambhal,BJP,SP,82.66
Jhanjharpur,BJP,JD(U),79.56
Supaul,INC,JD(U),79.43
"Autonomous District",INC,BJP,78.89
Chikkballapur,INC,BJP,75.59
Puducherry,AINRC,INC,73.94
Kolar,INC,BJP,69.28
Madhepura,RJD,JD(U),69.23
