district,total_motor_rikshaw_sold
Hyderabad,0.0840
Sangareddy,0.0338
Khammam,0.0269
Vikarabad,0.0205
"Bhadradri Kothagudem",0.0139
Warangal,0.0133
Mahabubnagar,0.0113
Karimnagar,0.0104
Nizamabad,0.0101
Nalgonda,0.0096
