Mmm,total_ml
Oct,0.748812
Jun,0.613414
Mar,0.600458
Nov,0.586376
Aug,0.569051
Jan,0.564491
Jul,0.558992
Feb,0.535443
Sep,0.510831
Dec,0.507991
May,0.439195
Apr,0.430723
