district,total_motor_car_sold
Rangareddy,0.7183
Medchal_Malkajgiri,0.6107
Hyderabad,0.5145
Sangareddy,0.1457
Khammam,0.0588
Nizamabad,0.0582
Vikarabad,0.0521
Nalgonda,0.0493
Karimnagar,0.0482
Mahabubnagar,0.0330
