district,total_motor_cycle_sold
Hyderabad,2.06819
Medchal_Malkajgiri,1.64626
Rangareddy,1.54186
Sangareddy,0.40784
Nizamabad,0.28105
Nalgonda,0.27942
Khammam,0.27385
Vikarabad,0.23116
Karimnagar,0.19411
Suryapet,0.19165
