district,total_motor_agri_sold
Nalgonda,0.0260
Siddipet,0.0244
Suryapet,0.0219
Khammam,0.0212
"Bhadradri Kothagudem",0.0201
"Jayashankar Bhupalpally",0.0193
"Yadadri Bhuvanagiri",0.0185
Vikarabad,0.0181
Medak,0.0158
Sangareddy,0.0157
