state,"voter turnout ratio"
Nagaland,21.96
"Daman & Diu",15.60
Mizoram,15.42
Lakshadweep,12.37
Sikkim,11.90
"Arunachal Pradesh",11.33
Meghalaya,10.18
Manipur,7.93
Goa,7.29
"Dadra & Nagar Haveli",7.01
"West Bengal",6.73
Tripura,6.27
Assam,6.18
"Himachal Pradesh",6.10
"Andhra Pradesh",5.35
Kerala,5.10
Gujarat,4.57
Rajasthan,4.56
"Andaman & Nicobar Islands",4.42
"Madhya Pradesh",4.31
Chandigarh,4.09
Karnataka,4.04
Telangana,3.91
Uttarakhand,3.78
Bihar,3.47
Punjab,3.45
"Uttar Pradesh",3.41
Jharkhand,3.39
"Tamil Nadu",3.21
"Jammu & Kashmir",3.17
Maharashtra,3.03
Haryana,2.99
"NCT OF Delhi",2.98
Puducherry,2.65
