pc_name,party,"% increase in 2019"
"Samastipur (Sc)",LJP,108.00
Kodarma,BJP,106.07
Shillong,INC,100.48
Wayanad,INC,87.35
Darbhanga,BJP,86.27
Vaishali,LJP,86.03
"Jamui (Sc)",LJP,85.43
Azamgarh,SP,82.65
Bhiwani-Mahendragarh,BJP,82.11
Hazaribagh,BJP,79.10
