Row Labels,Sum of vote%_2014,Sum of vote%_2019
Andaman & Nicobar Islands,91.4873,91.2748
BJP,47.7959,45.298
INC,43.6914,45.9768
Maharashtra,47.9492,50.8771
BJP,27.3187,27.5874
SHS,20.6305,23.2897
Grand Total,139.4365,142.1519
