pc_id,state_id,pc_name
301,19,Tonk-Sawai Madhopur
302,19,Ajmer
303,19,Nagaur
304,19,Pali
305,19,Jodhpur
306,19,Barmer
307,19,Jalore
308,19,Udaipur
309,19,Banswara
310,19,Chittorgarh
311,19,Rajsamand
312,19,Bhilwara
313,19,Kota
314,19,Jhalawar-Baran
315,20,Sikkim
316,21,Thiruvallur
317,21,Chennai North
318,21,Chennai South
319,21,Chennai Central
320,21,Sriperumbudur
321,21,Kancheepuram
322,21,Arakkonam
323,21,Vellore
324,21,Krishnagiri
325,21,Dharmapuri
326,21,Tiruvannamalai
327,21,Arani
328,21,Viluppuram
329,21,Kallakurichi
330,21,Salem
331,21,Namakkal
332,21,Erode
333,21,Tiruppur
334,21,Nilgiris
335,21,Coimbatore
336,21,Pollachi
337,21,Dindigul
338,21,Karur
339,21,Tiruchirappalli
340,21,Perambalur
341,21,Cuddalore
342,21,Chidambaram
343,21,Mayiladuthurai
344,21,Nagapattinam
345,21,Thanjavur
346,21,Sivaganga
347,21,Madurai
348,21,Theni
349,21,Virudhunagar
350,21,Ramanathapuram
351,21,Thoothukkudi
352,21,Tenkasi
353,21,Tirunelveli
354,21,Kanniyakumari
355,22,Tripura West
356,22,Tripura East
357,23,Saharanpur
358,23,Kairana
359,23,Muzaffarnagar
360,23,Bijnor
361,23,Nagina
362,23,Moradabad
363,23,Rampur
364,23,Sambhal
365,23,Amroha
366,23,Meerut
367,23,Baghpat
368,23,Ghaziabad
369,23,Gautam Buddha Nagar
370,23,Bulandshahr
371,23,Aligarh
372,23,Hathras
373,23,Mathura
374,23,Agra
375,23,Fatehpur Sikri
376,23,Firozabad
377,23,Mainpuri
378,23,Etah
379,23,Badaun
380,23,Aonla
381,23,Bareilly
382,23,Pilibhit
383,23,Shahjahanpur
384,23,Kheri
385,23,Dhaurahra
386,23,Sitapur
387,23,Hardoi
388,23,Misrikh
389,23,Unnao
390,23,Mohanlalganj
391,23,Lucknow
392,23,Rae Bareli
393,23,Amethi
394,23,Sultanpur
395,23,Pratapgarh
396,23,Farrukhabad
397,23,Etawah
398,23,Kannauj
399,23,Kanpur
400,23,Akbarpur
401,23,Jalaun
402,23,Jhansi
403,23,Hamirpur
404,23,Banda
405,23,Fatehpur
406,23,Kaushambi
407,23,Phulpur
408,23,Allahabad
409,23,Barabanki
410,23,Faizabad
411,23,Ambedkar Nagar
412,23,Bahraich
413,23,Kaiserganj
414,23,Shrawasti
415,23,Gonda
416,23,Domariyaganj
417,23,Basti
418,23,Sant Kabir Nagar
419,23,Maharajganj
420,23,Gorakhpur
421,23,Kushi Nagar
422,23,Deoria
423,23,Bansgaon
424,23,Lalganj
425,23,Azamgarh
426,23,Ghosi
427,23,Salempur
428,23,Ballia
429,23,Jaunpur
430,23,Machhlishahr
431,23,Ghazipur
432,23,Chandauli
433,23,Varanasi
434,23,Bhadohi
435,23,Mirzapur
436,23,Robertsganj
437,24,Cooch Behar
438,24,Alipurduars
439,24,Jalpaiguri
440,24,Darjeeling
441,24,Raiganj
442,24,Balurghat
443,24,Maldaha Uttar
444,24,Maldaha Dakshin
445,24,Jangipur
446,24,Baharampur
447,24,Murshidabad
448,24,Krishnanagar
449,24,Ranaghat
450,24,Bangaon
451,24,Barrackpore
452,24,Dum Dum
453,24,Barasat
454,24,Basirhat
455,24,Joynagar
456,24,Mathurapur
457,24,Diamond Harbour
458,24,Jadavpur
459,24,Kolkata Dakshin
460,24,Kolkata Uttar
461,24,Howrah
462,24,Uluberia
463,24,Srerampur
464,24,Hooghly
465,24,Arambagh
466,24,Tamluk
467,24,Kanthi
468,24,Ghatal
469,24,Jhargram
470,24,Medinipur
471,24,Purulia
472,24,Bankura
473,24,Bishnupur
474,24,Bardhaman Purba
475,24,Burdwan - Durgapur
476,24,Asansol
477,24,Bolpur
