candidate,sex,age,general_votes,postal_votes,total_votes,total_electors,state_id,category_id,party_id,pc_id
DEKAVADIYA DARJIBHAI MAGANBHAI (PATIDAR),M,58,1419,14,1433,1849429,6,3,152,108
OGHADBHAI SAGARAMBHAI MER,M,45,814,3,817,1849429,6,3,164,108
KAMABHAI PETHABHAI MAKWANA,M,68,876,15,891,1849429,6,2,164,108
KARIMBHAI ADAMBHAI URFE BABABHAI,M,65,1120,14,1134,1849429,6,3,164,108
KALUBHAI MALUBHAI VADALIYA,M,66,1131,2,1133,1849429,6,3,164,108
KOLI PATEL LALJIBHAI CHATURBHAI,M,63,4625,41,4666,1849429,6,3,164,108
KOLI RAMESHBHAI VIRSANGBHAI VAGHELA,M,39,1421,9,1430,1849429,6,3,164,108
GOLTAR BHAGVANBHAI MAIYABHAI,M,69,2456,15,2471,1849429,6,3,164,108
JARGELA HASANBHAI ABDULBHAI,M,56,3101,9,3110,1849429,6,3,164,108
DANIYA ANIRUDDHBHAI GANDABHAI,M,54,3046,1,3047,1849429,6,3,164,108
DOST MER,M,36,11097,6,11103,1849429,6,3,164,108
NARESH MAKWANA,M,39,6636,1,6637,1849429,6,2,164,108
PATEL BALDEVBHAI JIVABHAI,M,68,2376,1,2377,1849429,6,3,164,108
BHATHANIYA FARIDBHAI AMIJIBHAI,M,32,2887,0,2887,1849429,6,3,164,108
BHAVANBHAI DEVJIBHAI VORA,M,50,3814,2,3816,1849429,6,2,164,108
BHANJIBHAI SHEKHAVA,M,46,971,11,982,1849429,6,2,164,108
BHUPATBHAI LALJIBHAI SOLANKI,M,36,1329,21,1350,1849429,6,2,164,108
MAKWANA DALPATBHAI LAGHARBHAI,M,68,743,3,746,1849429,6,2,164,108
RATHOD ASHOKBHAI VITTHALBHAI,M,51,1058,3,1061,1849429,6,2,164,108
RATHOD ANANDBHAI PACHANBHAI,M,37,897,4,901,1849429,6,2,164,108
VAGHELA DAHYABHAI KHENGARBHAI,M,62,633,2,635,1849429,6,2,164,108
VAGHELA PRAKASHBHAI BACHUBHAI,M,42,694,3,697,1849429,6,2,164,108
SARDARKHAN MALEK,M,46,993,0,993,1849429,6,3,164,108
SALIMBHAI SHAHBUDINBHAI PATHAN,M,32,1153,0,1153,1849429,6,3,164,108
SAPRA VIPUL R.,M,33,2615,0,2615,1849429,6,3,164,108
HANIFBHAI KAYABHAI KATIYA,M,54,2003,1,2004,1849429,6,3,164,108
NOTA,null,null,8510,277,8787,1849429,6,null,269,108
KAGATHARA LALITBHAI,M,61,388405,1833,390238,1884339,6,3,163,109
KUNDARIA MOHANBHAI KALYANJIBHAI,M,67,755296,3349,758645,1884339,6,3,80,109
VIJAY PARMAR,M,48,15288,100,15388,1884339,6,2,110,109
AMARDAS B. DESANI,M,52,1383,9,1392,1884339,6,3,164,109
CHITRODA NATHALAL (CHITRODA SIR),M,59,1164,5,1169,1884339,6,2,164,109
J. B. CHAUHAN,M,40,968,2,970,1884339,6,2,164,109
CHAUHAN MANOJBHAI PRAVINBHAI,M,27,1140,6,1146,1884339,6,2,164,109
JASPALSINH MAHAVEERSINH TOMAR,M,34,1587,9,1596,1884339,6,3,164,109
DENGADA PRAVINBHAI MEGHJIBHAI,M,57,2164,2,2166,1884339,6,2,164,109
RAKESH PATEL,M,37,4237,6,4243,1884339,6,3,164,109
NOTA,null,null,18080,238,18318,1884339,6,null,269,109
RAMESHBHAI LAVJIBHAI DHADUK,M,57,560011,3870,563881,1662368,6,3,80,110
LALIT VASOYA,M,57,331883,2175,334058,1662368,6,3,163,110
SAMATBHAI GOVABHAI KADAVALA,M,44,9874,218,10092,1662368,6,3,110,110
BHARGAV SURESHCHANDRA JOSHI,M,46,1514,10,1524,1662368,6,3,605,110
VAKIL VINZUDA RANJITBHAI NARANBHAI,M,60,707,6,713,1662368,6,2,518,110
ALPESHKUMAR V.VADOLIYA(1008),M,33,645,3,648,1662368,6,3,164,110
ATROLIYA KARABHAI GAGANBHAI,M,40,742,38,780,1662368,6,3,164,110
UNADKAT PRAKASHBHAI VALLABHDAS,M,57,604,1,605,1662368,6,3,164,110
KIRTIKUMAR BAVANJIBHAI MARVANIA,M,58,683,2,685,1662368,6,3,164,110
BHANUBHAI NAGABHAI ODEDRA,M,49,792,23,815,1662368,6,3,164,110
RABARI DASABHAI KARABHAI,M,33,3867,62,3929,1662368,6,3,164,110
RATHOD DAYABHAI HIRABHAI,M,54,1345,5,1350,1662368,6,2,164,110
RANK JIGNESHBHAI GOVINDBHAI,M,27,1216,2,1218,1662368,6,3,164,110
RIYAZ OSMAN SURIYA ALIAS LALO MURGHIVALA,M,37,1979,4,1983,1662368,6,3,164,110
RESHMA PATEL,F,34,3704,12,3716,1662368,6,3,164,110
VIMALBHAI RATILAL RAMANI,M,36,8652,1,8653,1662368,6,3,164,110
ASHOK NANJI SONDARVA,M,52,7448,9,7457,1662368,6,2,164,110
NOTA,null,null,7675,165,7840,1662368,6,null,269,110
KANDORIYA MULUBHAI RANMALBHAI,M,60,353199,1585,354784,1657166,6,3,163,111
POONAMBEN HEMATBHAI MAADAM,F,44,587501,4087,591588,1657166,6,3,80,111
SUNIL JETHALAL VAGHELA,M,39,8674,121,8795,1657166,6,2,110,111
ALIMAMAD ISHAKBHAI PALANI,M,38,855,2,857,1657166,6,3,164,111
ASHOK CHAVDA,M,34,571,6,577,1657166,6,2,164,111
AAMIN MAMADBHAI SAFIYA,M,30,475,2,477,1657166,6,3,164,111
AMANDBHAI PATEL,M,69,410,3,413,1657166,6,3,164,111
KACHCHHI DAUD NATHA SUMARA,M,54,918,1,919,1657166,6,3,164,111
RABARI KARSHANBHAI JESHABHAI,M,47,1417,19,1436,1657166,6,3,164,111
CHAVDA SHAMJI BABUBHAI,M,43,760,8,768,1657166,6,2,164,111
CHAUHAN DHIRAJ KANTILAL,M,32,768,6,774,1657166,6,2,164,111
JAHID AAVAD JAMI,M,48,1245,1,1246,1657166,6,3,164,111
DONGA JAYANTILAL ARJANBHAI,M,53,2485,4,2489,1657166,6,3,164,111
NAKUM NARMADABEN KHODALAL,F,60,2106,7,2113,1657166,6,3,164,111
DALVADI NAKUM RASIK LALJI,M,30,10025,35,10060,1657166,6,3,164,111
POPATPUTRA RAFIK ABUBAKAR,M,56,8216,0,8216,1657166,6,3,164,111
BATHVAR NANJI AMARSHI,M,56,5246,3,5249,1657166,6,2,164,111
BAXI MRUDUL ASHWINKUMAR,M,30,3106,0,3106,1657166,6,3,164,111
BHARAT RAMJIBHAI DAGARA,M,33,921,0,921,1657166,6,2,164,111
BHARKHANI KARABHAI JIVABHAI,M,50,1447,1,1448,1657166,6,3,164,111
BHAVNABA JADEJA,F,32,778,86,864,1657166,6,3,164,111
BHANDERI AMARSHIBHAI CHHAGANBHAI,M,47,395,1,396,1657166,6,3,164,111
MAKRANI AJAZAHMED,M,37,478,1,479,1657166,6,3,164,111
VALABHBHAI CHANABHAI SOJITRA (V. C. PATEL),M,59,529,0,529,1657166,6,3,164,111
SAMA YUSUF,M,52,648,1,649,1657166,6,3,164,111
SAHDEVSINH DILIPSINH CHUDASAMA,M,44,1238,57,1295,1657166,6,3,164,111
SAPARIYA VIJAYKUMAR MANSUKHBHAI,M,38,770,2,772,1657166,6,3,164,111
SUMBHANIA AAMIN ABASBHAI,M,37,1945,1,1946,1657166,6,3,164,111
NOTA,null,null,7656,143,7799,1657166,6,null,269,111
CHUDASAMA RAJESHBHAI NARANBHAI,M,36,543429,4315,547744,1642864,6,3,80,112
DEVEN GOVINDBHAI VANVI,M,48,25448,243,25691,1642864,6,2,110,112
VANSH PUNJABHAI BHIMABHAI,M,55,394673,2860,397533,1642864,6,3,163,112
BHUT ASHOKBHAI BHIMJIBHAI,M,66,3253,3,3256,1642864,6,3,801,112
RATHOD NATHABHAI VASHARAMBHAI,M,69,910,6,916,1642864,6,3,892,112
KARIA DHIRENBHAI AMRUTLAL,M,37,880,4,884,1642864,6,3,164,112
ZALA MUKESHBHAI BHARAMALBHAI,M,36,1293,17,1310,1642864,6,3,164,112
PANCHABHAI BHAYABHAI DAMANIYA,M,36,1201,8,1209,1642864,6,3,164,112
PRADIPBHAI MAVJIBHAI TANK,M,44,1132,7,1139,1642864,6,3,164,112
MAKWANA DHARMENDRA VAJUBHAI,M,34,1801,5,1806,1642864,6,2,164,112
VALA JAYPALSINH HAJABHAI,M,28,4130,35,4165,1642864,6,3,164,112
HARESH MANUBHAI SARDHARA,M,37,3479,12,3491,1642864,6,3,164,112
NOTA,null,null,15396,203,15599,1642864,6,null,269,112
Kachhadiya Naranbhai Bhikhabhai,M,64,527593,1442,529035,1628451,6,3,80,113
Chauhan Ravjibhai Mulabhai,M,47,9664,27,9691,1628451,6,2,110,113
Paresh Dhanani,M,42,326781,823,327604,1628451,6,3,163,113
Dhapa Dharamshibhai Ramjibhai,M,45,4731,16,4747,1628451,6,3,892,113
R.S. Gosai,M,45,1762,1,1763,1628451,6,3,164,113
Chauhan Dayabhai Bhagvanbhai,M,54,1551,2,1553,1628451,6,3,164,113
Jerambhai R. Parmar,M,57,982,4,986,1628451,6,2,164,113
Dayala Shubhashbhai Parabatbhai,M,42,1411,2,1413,1628451,6,3,164,113
Nathalal Sukhadiya,M,44,2204,3,2207,1628451,6,3,164,113
Mehta Nanalal Kalidas,M,62,2332,4,2336,1628451,6,3,164,113
Valodara Vrajlal Jivabhai,M,78,5331,1,5332,1628451,6,2,164,113
Himmat Bagda,M,47,4926,7,4933,1628451,6,2,164,113
NOTA,null,null,17513,54,17567,1628451,6,null,269,113
PATEL MANHARBHAI NAGJIBHAI (VASANI),M,50,329131,2623,331754,1768297,6,3,163,114
DR.BHARATIBEN DHIRUBHAI SHIYAL,F,55,655272,6001,661273,1768297,6,3,80,114
VIJAYKUMAR RAMABHAI MAKADIYA,M,33,6882,59,6941,1768297,6,2,110,114
DHAPA DHARAMSHIBHAI RAMJIBHAI,M,45,7756,80,7836,1768297,6,3,892,114
RAMDEVSINH BHARATSINH ZALA,M,32,2402,107,2509,1768297,6,3,653,114
SONDHARVA BHARATBHAI KANJIBHAI,M,40,1362,1,1363,1768297,6,2,395,114
CHAUHAN AJAYKUMAR RAMRATANSINH (AMIT CHAUHAN),M,42,1557,4,1561,1768297,6,3,164,114
CHAMPABEN ZAVERBHAI CHAUHAN,F,59,1822,6,1828,1768297,6,3,164,114
SITAPARA SAGARBHAI BHURABHAI,M,41,3766,9,3775,1768297,6,3,164,114
HARESHBHAI BABUBHAI VEGAD (HARABHAI),M,35,6055,1,6056,1768297,6,3,164,114
NOTA,null,null,16115,268,16383,1768297,6,null,269,114
PATEL MITESH RAMESHBHAI (BAKABHAI),M,54,631581,1516,633097,1655870,6,3,80,115
BHARATBHAI MADHAVSINH SOLANKI,M,65,434006,1373,435379,1655870,6,3,163,115
VANKAR RAMESHBHAI VALJIBHAI,M,45,5935,24,5959,1655870,6,3,110,115
BHATT ASHISHKUMAR MANOJKUMAR,M,42,1032,2,1034,1655870,6,3,8,115
BHATT SUNILKUMAR NARENDRABHAI,M,38,1154,1,1155,1655870,6,3,808,115
KEYUR PRAVINBHAI PATEL (BAKABHAI),M,38,966,0,966,1655870,6,3,164,115
CHAVDA KAUSHIKKUMAR,M,45,1063,1,1064,1655870,6,3,164,115
BHARATBHAI SOLANKI,M,38,2451,9,2460,1655870,6,3,164,115
SANTOLKUMAR MAHIJIBHAI PATEL (BAKABHAI),M,40,2300,1,2301,1655870,6,3,164,115
HITENDRASINH MOHANSINH PARMAR,M,64,6854,0,6854,1655870,6,3,164,115
NOTA,null,null,18365,27,18392,1655870,6,null,269,115
Chauhan Devusinh,M,54,711757,2815,714572,1804028,6,3,80,116
Bimal Shah,M,58,345804,1623,347427,1804028,6,3,163,116
Bhailalbhai Kalubhai Pandav,M,36,7400,61,7461,1804028,6,2,110,116
Chauhan Parsottambhai Babarbhai,M,62,2093,7,2100,1804028,6,3,895,116
Patel Kamleshkumar Ratilal,M,54,1759,5,1764,1804028,6,3,152,116
Pathan Ayashabanu,F,48,2171,5,2176,1804028,6,3,43,116
Pathan Imtiyazkhan Saeedkhan,M,42,4853,3,4856,1804028,6,3,18,116
NOTA,null,null,18201,76,18277,1804028,6,null,269,116
Khant Vechatbhai Kuberbhai,M,68,301046,2549,303595,1744762,6,3,163,117
Ratansinh Magansinh Rathod,M,59,727301,4835,732136,1744762,6,3,80,117
Virendra Parsottamdas Patel,M,31,9809,17,9826,1744762,6,3,260,117
Shaikh Kalim Abdul Latif,M,52,3892,13,3905,1744762,6,3,110,117
Rathod Vijaysinh Mohansinh,M,44,4827,42,4869,1744762,6,3,152,117
Lalabhai Gadhvi,M,36,9196,16,9212,1744762,6,3,164,117
NOTA,null,null,20066,67,20133,1744762,6,null,269,117
KATARA BABUBHAI KHIMABHAI,M,58,431312,2852,434164,1598939,6,0,163,118
JASHVANTSINH SUMANBHAI BHABHOR,M,52,558977,2783,561760,1598939,6,0,80,118
BHABHOR DHULABHAI DITABHAI,M,64,11329,10,11339,1598939,6,0,110,118
KALARA RAMSINGBHAI NANJIBHAI,M,47,3835,1,3836,1598939,6,0,152,118
JAGDISHBHAI MANILAL MEDA,M,39,3821,3,3824,1598939,6,0,94,118
DAMOR MANABHAI BHAVSINGBHAI,M,45,5204,7,5211,1598939,6,0,164,118
DEVDHA SAMSUBHAI KHATARABHAI,M,51,11135,7,11142,1598939,6,0,164,118
NOTA,null,null,31873,63,31936,1598939,6,null,269,118
PRASHANT PATEL (TIKO),M,44,293080,1462,294542,1794896,6,3,163,119
ROHIT MADHUSUDAN MOHANBHAI,M,53,7429,29,7458,1794896,6,2,110,119
RANJANBEN BHATT,F,56,880905,2814,883719,1794896,6,3,80,119
GOHIL RINKU,F,32,3805,6,3811,1794896,6,3,895,119
JAT SUBHAS SINGH BRIJLAL,M,36,1093,4,1097,1794896,6,3,479,119
TAPAN DASGUPTA,M,54,888,1,889,1794896,6,3,856,119
MOHSIMMIYA (SAIYAD MOHSIN BAPU),M,58,871,1,872,1794896,6,3,92,119
LION DR. YASINALI POLRA,M,47,1791,4,1795,1794896,6,3,430,119
SANTOSH S. SOLANKI,M,30,856,2,858,1794896,6,2,557,119
NIMESH PATEL (KAMROL),M,33,947,16,963,1794896,6,3,164,119
PATEL KALIDAS (KALIDAS M. PATEL ALIAS NAPOLEON),M,65,1429,2,1431,1794896,6,3,164,119
DR. RAHUL VASUDEVBHAI VYAS,M,39,3457,0,3457,1794896,6,3,164,119
SINDHI MAHEBUBKHAN YUSUFKHAN (VAKIL),M,44,4454,3,4457,1794896,6,3,164,119
NOTA,null,null,16901,98,16999,1794896,6,null,269,119
RATHVA GITABEN VAJESINGBHAI,F,47,761472,2973,764445,1671253,6,0,80,120
RATHVA FURKANBHAI BALAJIBHAI,M,48,14948,16,14964,1671253,6,0,110,120
RATHAVA RANJITSINH MOHANSINH,M,53,384059,2443,386502,1671253,6,0,163,120
VASAVA RAJESH SOMABHAI,M,36,10519,113,10632,1671253,6,0,579,120
UMESH JANGUBHAI RATHAWA,M,38,3699,11,3710,1671253,6,0,164,120
PRAVINBHAI DHURSINGBHAI RATHVA,M,33,3664,5,3669,1671253,6,0,164,120
RATHVA BHAVSINGBHAI NAMARSINGBHAI,M,40,6884,3,6887,1671253,6,0,164,120
RATHVA MAGANBHAI CHATHIYABHAI,M,53,8781,1,8782,1671253,6,0,164,120
NOTA,null,null,32816,52,32868,1671253,6,null,269,120
Mansukhbhai Dhanjibhai Vasava,M,61,635374,2421,637795,1564519,6,0,80,121
Vasava Rajeshbhai Chimanbhai,M,37,6224,11,6235,1564519,6,0,110,121
Sherkhan Abdulsakur Pathan,M,37,302890,691,303581,1564519,6,3,163,121
Chhotubhai Amarsinh Vasava,M,73,143093,990,144083,1564519,6,0,579,121
Pathan Salimkhan Sadikkhan,M,32,2133,2,2135,1564519,6,3,822,121
Vashi Narendrasinh Randhirsinh,M,47,808,0,808,1564519,6,3,895,121
Sabbirbhai Musabhai Patel,M,64,826,0,826,1564519,6,3,18,121
Sukhdev Bhikhabhai Vasava,M,37,1218,3,1221,1564519,6,0,92,121
Ashokchandra Bhikhubhai Parmar,M,58,2845,6,2851,1564519,6,2,164,121
Jitendra Parmar (Jitu Chowkidar),M,56,1323,4,1327,1564519,6,3,164,121
Patel Imran Umarjibhai,M,35,1510,0,1510,1564519,6,3,164,121
Mukhtiyar Abdulrahim Shaikh (BansiMama),M,57,2067,0,2067,1564519,6,3,164,121
Vasava Navinbhai Himmatbhai,M,56,8148,7,8155,1564519,6,0,164,121
Vikramsinh Dalsukhbhai Gohil,M,37,3831,2,3833,1564519,6,3,164,121
Sapa Rafikbhai Sulemanbhai,M,51,3829,0,3829,1564519,6,3,164,121
Sindha Kiritsinh Alias Jalamsinh Nathubava,M,40,15110,0,15110,1564519,6,3,164,121
Solanki Rajeshbhai Lallubhai,M,37,8037,1,8038,1564519,6,2,164,121
NOTA,null,null,6244,77,6321,1564519,6,null,269,121
CHAUDHARI DR. TUSHARBHAI AMARSINHBHAI,M,53,524474,2352,526826,1826526,6,0,163,122
DINESHBHAI GULABBHAI CHAUDHARI,M,43,9504,16,9520,1826526,6,0,110,122
PARBHUBHAI NAGARBHAI VASAVA,M,49,740448,1825,742273,1826526,6,0,80,122
GAMIT KAUSHIKBHAI VIRENDRABHAI,M,43,5340,3,5343,1826526,6,0,395,122
GAMIT MOHANBHAI BABUBHAI,M,74,1691,1,1692,1826526,6,0,521,122
GAMIT SURESHBHAI BABUBHAI,M,53,1559,13,1572,1826526,6,0,854,122
VASAVA UTTAMBHAI SOMABHAI,M,46,11713,68,11781,1826526,6,0,579,122
ARVINDBHAI BHANABHAI RATHOD,M,49,1727,3,1730,1826526,6,0,164,122
UMEDBHAI BHIMSINGBHAI GAMIT,M,30,5459,10,5469,1826526,6,0,164,122
PRAGNESHBHAI RATILAL CHAUDHARI,M,41,3824,4,3828,1826526,6,0,164,122
VASAVA FATESINGBHAI VAHRIYABHAI,M,58,8978,1,8979,1826526,6,0,164,122
SURESHBHAI MOTIYABHAI CHAUDHARI,M,61,6111,0,6111,1826526,6,0,164,122
NOTA,null,null,22823,91,22914,1826526,6,null,269,122
Ashok Patel (Adhevada),M,45,246978,443,247421,1655704,6,3,163,123
Darshana Vikram Jardosh,F,58,794133,1518,795651,1655704,6,3,80,123
Adv. Vijay Shenmare,M,64,5732,3,5735,1655704,6,3,123,123
Captain Rita Maa,F,52,642,1,643,1655704,6,3,292,123
Shri. Gautamraj Hindustani,M,50,721,1,722,1655704,6,3,429,123
Jogiya Amisha Vikrambhai,F,29,606,1,607,1655704,6,3,822,123
Dhameliya Piyush Vallabhbhai (R.D.P),M,39,532,0,532,1655704,6,3,772,123
Tulsibhai Laxmanbhai Dakhara,M,52,412,2,414,1655704,6,3,164,123
Dinesh Jikadra Prajapati,M,29,1004,9,1013,1655704,6,3,164,123
Dipak Gangani,M,34,716,1,717,1655704,6,3,164,123
Mahyavanshi Natvarbhai Dahyabhai,M,40,1015,5,1020,1655704,6,2,164,123
Rameshbhai P. Baraiya (Pati),M,54,1056,1,1057,1655704,6,3,164,123
Surwade Santosh Avdhut (Gabbar),M,36,2348,0,2348,1655704,6,2,164,123
NOTA,null,null,10464,68,10532,1655704,6,null,269,123
PATEL DHARMESHBHAI BHIMBHAI,M,47,281663,1408,283071,1971658,6,3,163,124
C. R. Patil,M,64,969430,3309,972739,1971658,6,3,80,124
VINEETA ANIRUDDH SINH,F,38,9331,35,9366,1971658,6,3,110,124
AMRUTHAM NARSAIAH PAPAIAH,M,58,826,3,829,1971658,6,3,292,124
Dr. KANUBHAI KHADADIYA,M,61,725,0,725,1971658,6,3,856,124
JAVADKHAN PATHAN,M,35,573,1,574,1971658,6,3,429,124
JITENDRABHAI PREMNATH MISHRA,M,48,540,0,540,1971658,6,3,822,124
PASVAN VIRENDRA,M,49,495,2,497,1971658,6,2,59,124
SHARMA RAJMAL MOHANLAL (GABBAR),M,37,569,1,570,1971658,6,3,854,124
SHRIPRAKASH SHUKLA,M,48,613,0,613,1971658,6,3,104,124
SACHIN G. KINDA,M,38,808,3,811,1971658,6,3,790,124
HIRAMANIBEN,F,32,3013,3,3016,1971658,6,3,345,124
ANISHBHAI GAFFARBHAI BHIMANI (Ganibhai),M,62,1049,0,1049,1971658,6,3,164,124
KHAN HEENABEGUM KAMRUDDIN,F,38,1745,0,1745,1971658,6,3,164,124
GOVINDBHAI LAXMANBHAI RATHOD,M,62,4189,6,4195,1971658,6,2,164,124
CHANDANSINH SHIVVADANSINH THAKUR,M,33,5982,2,5984,1971658,6,3,164,124
CHAUHAN NILESHKUMAR,M,43,2914,3,2917,1971658,6,2,164,124
JAVID AHMAD SHEKH,M,35,2480,0,2480,1971658,6,3,164,124
JAIN RAJENDRAKUMAR ANILKUMAR,M,32,2104,0,2104,1971658,6,3,164,124
PATEL NAVINKUMAR SHANKARBHAI,M,47,596,1,597,1971658,6,3,164,124
RAMJAN MANSURI - PATRAKAR,M,52,577,0,577,1971658,6,3,164,124
SHAIKH SAEED INAYAT PATRAKAR,M,25,1029,0,1029,1971658,6,3,164,124
SHEKH HAMID RAMJAN,M,57,662,1,663,1971658,6,3,164,124
SAIYAD MEHMUD AHMAD,M,61,795,2,797,1971658,6,3,164,124
SOHILKHAN HASHIMKHAN (Sohil Panchar),M,33,1495,2,1497,1971658,6,3,164,124
NOTA,null,null,8878,155,9033,1971658,6,null,269,124
KISHORBHAI RAMANBHAI PATEL (Rajubhai),M,54,15344,15,15359,1671030,6,0,110,125
CHAUDHARI JITUBHAI HARJIBHAI,M,54,416310,1873,418183,1671030,6,0,163,125
Dr.K.C.PATEL,M,69,770442,1538,771980,1671030,6,0,80,125
PATEL NARESHBHAI BABUBHAI,M,54,7173,5,7178,1671030,6,0,395,125
PATEL PANKAJBHAI LALLUBHAI,M,36,9488,48,9536,1671030,6,0,579,125
BABUBHAI CHHAGANBHAI TALAVIYA,M,65,2557,0,2557,1671030,6,0,92,125
GAURANGBHAI RAMESHBHAI PATEL,M,35,2983,14,2997,1671030,6,0,164,125
GANVIT JAYENDRABHAI LAXMANBHAI,M,39,5817,2,5819,1671030,6,0,164,125
PATEL UMESHBHAI MAGANBHAI,M,46,7460,1,7461,1671030,6,0,164,125
NOTA,null,null,19264,43,19307,1671030,6,null,269,125
ARUN KUMAR,M,46,7540,23,7563,1853711,7,2,123,126
NARESH KUMAR,M,55,96205,91,96296,1853711,7,2,110,126
RATTAN LAL KATARIA,M,67,744438,2070,746508,1853711,7,2,80,126
RAM PAL,M,61,19518,57,19575,1853711,7,2,166,126
SELJA,F,56,403678,485,404163,1853711,7,2,163,126
Anil Kumar,M,37,2123,5,2128,1853711,7,2,334,126
PURAN CHAND,M,61,719,0,719,1853711,7,2,766,126
PRITHVI RAJ,M,61,12260,42,12302,1853711,7,2,1,126
RAJENDER KUMAR BHATLI,M,49,1161,1,1162,1853711,7,2,104,126
VARUN KUMAR JAGLAN,M,32,948,1,949,1853711,7,2,739,126
SANDEEP SINGH,M,26,885,9,894,1853711,7,2,457,126
SURAJ KUMAR,M,36,1842,0,1842,1853711,7,2,92,126
SURAJ BHAN NARWAL,M,64,1072,0,1072,1853711,7,2,744,126
JATINDER SINGH,M,36,2619,18,2637,1853711,7,2,164,126
BETA MAM CHAND RATTUWALA,M,35,3265,5,3270,1853711,7,2,164,126
RANJEET SINGH,M,38,3740,2,3742,1853711,7,2,164,126
RATTAN LAL,M,69,1892,2,1894,1853711,7,2,164,126
SURAJ BHAN,M,62,1575,1,1576,1853711,7,2,164,126
NOTA,null,null,7914,29,7943,1853711,7,null,269,126
ARJUN SINGH CHAUTALA,M,26,60574,105,60679,1657335,7,3,166,127
NAYAB SINGH,M,49,686588,2041,688629,1657335,7,3,80,127
NIRMAL SINGH,M,66,303722,316,304038,1657335,7,3,163,127
SHASHI,F,59,75533,92,75625,1657335,7,3,110,127
JAI BHAGWAN SHARMA (DD),M,57,68437,76,68513,1657335,7,3,646,127
JYOTI HIBANA,F,37,974,11,985,1657335,7,3,721,127
NITIN,M,27,467,0,467,1657335,7,3,457,127
RAJ KUMARI,F,35,506,1,507,1657335,7,2,535,127
RAM NARAYAN,M,29,765,1,766,1657335,7,2,547,127
VIKRAM SINGH,M,44,1175,11,1186,1657335,7,3,104,127
SANDEEP KUMAR KAUSHIK,M,38,682,4,686,1657335,7,3,766,127
SUBHASH CHAND BEDI,M,47,1087,4,1091,1657335,7,2,744,127
SUMER CHAND,M,63,2313,0,2313,1657335,7,3,739,127
ANIL YOGI UPADHYAY,M,37,1939,1,1940,1657335,7,3,164,127
ASHWINI SHARMA HRITTWAL,M,55,4611,0,4611,1657335,7,3,164,127
CS KANWALJIT SINGH,M,30,2804,7,2811,1657335,7,3,164,127
JAI PARKASH SHARMA,M,64,1343,1,1344,1657335,7,3,164,127
BALVEER SINGH,M,74,2448,1,2449,1657335,7,3,164,127
RAMESH CHANDER KHATKAR,M,38,1466,1,1467,1657335,7,3,164,127
RAMESHWAR (FOJI),M,49,1125,4,1129,1657335,7,3,164,127
ROSHAN LAL MUWAL,M,60,886,2,888,1657335,7,2,164,127
SANDEEP SINGH BHARTI,M,35,3088,26,3114,1657335,7,3,164,127
SACHIN GABA,M,37,919,2,921,1657335,7,3,164,127
SATISH SINGAL,M,59,845,0,845,1657335,7,3,164,127
NOTA,null,null,3165,33,3198,1657335,7,null,269,127
Ashok Tanwar,M,43,404099,334,404433,1803349,7,2,163,128
Charanjeet Singh Rori,M,49,87979,114,88093,1803349,7,2,166,128
Janak Raj Atwal,M,50,25080,27,25107,1803349,7,2,110,128
Sunita Duggal,F,51,712877,1474,714351,1803349,7,2,80,128
Ankur Gill,M,27,3743,6,3749,1803349,7,2,377,128
Angrej Singh Alahi,M,41,1933,5,1938,1803349,7,2,766,128
Jaswant,M,41,1536,0,1536,1803349,7,2,104,128
Nirmal Singh Malri,M,37,95792,122,95914,1803349,7,2,646,128
Brij Pal Balmiki,M,47,1514,0,1514,1803349,7,2,92,128
Rajesh Chaubara,M,39,1848,3,1851,1803349,7,2,789,128
Dr. Rajesh Mehandia,M,44,3037,1,3038,1803349,7,2,739,128
Hira Singh Hanspur,M,47,1947,4,1951,1803349,7,2,744,128
Kashmir Chand Oad,M,69,4052,4,4056,1803349,7,2,164,128
Dalip Luna,M,31,1319,0,1319,1803349,7,2,164,128
Deepak,M,28,1543,0,1543,1803349,7,2,164,128
Rajender Sirsa,M,40,6447,1,6448,1803349,7,2,164,128
Vinod Kumar Sirkiband (Gihara),M,42,3839,0,3839,1803349,7,2,164,128
Virender Singh,M,40,877,1,878,1803349,7,2,164,128
Surender Kumar,M,41,1186,0,1186,1803349,7,2,164,128
Surajmal Athwal,M,61,2403,0,2403,1803349,7,2,164,128
NOTA,null,null,4319,20,4339,1803349,7,null,269,128
BRIJENDRA SINGH,M,46,599951,3338,603289,1631817,7,3,80,129
BHAVYA BISHNOI,M,26,183960,409,184369,1631817,7,3,163,129
SUKHBIR SINGH,M,36,9136,14,9150,1631817,7,3,125,129
SURINDER SHARMA,M,58,45090,100,45190,1631817,7,3,110,129
SURESH KOTH,M,50,9739,22,9761,1631817,7,3,166,129
JAI BHAGWAN,M,48,2090,3,2093,1631817,7,2,92,129
DARA SINGH,M,27,1248,21,1269,1631817,7,2,543,129
DUSHYANT CHAUTALA,M,31,288425,796,289221,1631817,7,3,646,129
PAWAN FOUJI,M,51,1769,8,1777,1631817,7,2,750,129
VIKAS GODARA,M,36,891,2,893,1631817,7,3,766,129
SHASHI BHARAT BHUSHAN,M,54,416,1,417,1631817,7,3,744,129
SANDEEP,M,30,516,5,521,1631817,7,3,535,129
KAKA SAHIL THAKRAL,M,25,770,0,770,1631817,7,3,849,129
