party_id,party,symbol
228,LSWP,Candles
229,LORP,FLUTE
230,MADP,Auto- Rickshaw
231,MAHP,HOCKEY & BALL
232,MAMAK,Candles
233,MBCOI,Scissors
234,MBT,Balloon
235,MCO,Kite
236,MCPI,Carrom Board
237,MD,Auto- Rickshaw
238,MDMK,Top
239,MDPF,Battery Torch
240,MEDP,FLUTE
241,MHD,Scissors
242,MKUP,Kite
243,MMKA,BUCKET
244,MMM,Basket containing Fruits
245,MNDP,Kite
246,MNS,Railway Engine
247,MOP,Auto- Rickshaw
248,MOSP,HOCKEY & BALL
249,MPS(T),Gas Cylinder
250,MVA,Gas Cylinder
251,MAJP,Television
252,MASP,Ring
253,MASPA,Almirah
254,MWSP,Whistle
255,NADP,Stethoscope
256,NAJC,Auto- Rickshaw
257,NAP,HOCKEY & BALL
258,NBDP,Table
259,NBNP,Dao
260,NCP,Clock
261,NDEP,Kite
262,NEP,Black Board
263,NIP,Cup & Saucer
264,NJC,Almirah
265,NLP,Ceiling Fan
266,NMK,Batsman
267,NNP,Kite
268,NOC,Candles
269,NOTA,NOTA
270,NP,Table
271,NPEP,Book
272,NPF,Cock
273,NPT,Auto- Rickshaw
274,NRSN,FLUTE
275,NSBP,Candles
276,NTP,Coat
277,NYP,Battery Torch
278,NALP,Kettle
279,PAP,Bat
280,PBI,Gas Stove
281,PDS,Kite
282,PECP,Ceiling Fan
283,PG,Kite
284,PGSP,Helmet
285,PHRC,Gas Cylinder
286,PLP,Gas Cylinder
287,PMK,Mango
288,PMSP,Saw
289,PPA,Maize
290,PPI,Auto- Rickshaw
291,PPIS,Candles
292,PPOI,Television
293,PRCP,Kite
294,PRISM,Basket containing Fruits
295,PRSP,BUCKET
296,PSJP,Kite
297,PSS,Bread
298,PT,Television
299,PWPI,Cup & Saucer
300,QED,Glass Tumbler
301,RAC,Cup & Saucer
302,RADP,Carrot
303,RAHM,FLUTE
304,RAKP,Scissors
305,RAPA,Green Chilli
306,RBC,Auto- Rickshaw
307,RBCP,Battery Torch
308,RBHP,Kite
309,RBS,Auto- Rickshaw
310,RCMP,CARPET
311,RDHP,Electric Pole
312,REP,Auto- Rickshaw
313,RGD,Batsman
314,RJ,Scissors
315,RJAP,Sewing Machine
316,RJAVP,Electric Pole
317,RJD,Candles
318,RJJM,Ceiling Fan
319,RJM,Candles
320,RJNP,HOCKEY & BALL
321,RJP(E),Glass Tumbler
322,RJPK,Battery Torch
323,RJVP,Gas Cylinder
324,RKEP,Gas Cylinder
325,RKSP,Camera
326,RLD,Hand Pump
327,RMGP,Stethoscope
328,RMOP,BUCKET
329,RND,Almirah
330,RP(K),Auto- Rickshaw
331,RPC(S),Gas Cylinder
332,RPD,Kite
333,RPI,Sewing Machine
334,RPI(A),Sewing Machine
335,RPI(KH),Candles
336,RPIE,Battery Torch
337,RPP(LB),Sewing Machine
338,RPS,Gas Cylinder
339,RRP,Hat
340,RSD,FLUTE
341,RSMD,Sewing Machine
342,RSOSP,Kettle
343,RSP,Spade & Stoker
344,RSPK(B),Gas Cylinder
345,RSPS,Cup & Saucer
346,RSSDP,Cup & Saucer
347,RSWD,Almirah
348,RTKP,Stethoscope
349,RUC,Balloon
350,RVLP,Table Lamp
351,RVMP,Camera
352,RVNP,Auto- Rickshaw
353,RVP,Gas Cylinder
354,RWSP,Whistle
355,RAAD,Kite
356,RABAP,Pressure Cooker
357,RACP,Sewing Machine
358,RAIP,Grapes
359,RAJPA,Dish Antenna
360,RAJSP,Candles
361,RAMSP,Candles
362,RRSP,Coconut
363,RSAD,Walking Stick
364,RSHJP,Walking Stick
365,RTJP,Candles
366,RTRJP,Scissors
367,S(J),Gas Stove
368,SAD,Scales
369,SAD(M),HOCKEY & BALL
370,SAP,Air Conditioner
371,SARP,Scissors
372,SBSP,Walking Stick
373,SDF,Umbrella
374,SDP,Auto- Rickshaw
375,SDPI,Auto- Rickshaw
376,SHP,Auto- Rickshaw
377,SHS,Bow & Arrow
378,SJD,Ring
