state_id,candidate,sex,age,general_votes,postal_votes,total_votes,total_electors,pc_id,category_id,party_id
0,GURJADA BHEERAIAH YADAV,M,47,2050,3,2053,1536166,5,3,164
0,BALARAJU MITTAPALLY,M,43,2973,0,2973,1536166,5,3,164
0,MEKA. SUBBA RAO,M,37,4441,0,4441,1536166,5,2,164
0,null,null,null,10687,9,10696,1536166,5,null,269
0,KARUNAKAR.R,M,48,6111,22,6133,3183083,6,3,110
0,CH.MALLA REDDY,M,56,522423,933,523356,3183083,6,3,406
0,SARVEY SATHYANARAYANA,M,60,232989,541,233530,3183083,6,3,163
0,HANUMANTH RAO MYNAMPALLY,M,47,493433,1757,495190,3183083,6,3,412
0,DR.JAYAPRAKASH  NARAYAN .N,M,58,157530,718,158248,3183083,6,3,227
0,JAJULA BHASKAR,M,39,7951,2,7953,3183083,6,3,376
0,V.DINESH REDDY,M,60,114941,280,115221,3183083,6,3,428
0,DIVAKAR DHARANIKOTA SUDHAKAR,M,28,18535,9,18544,3183083,6,3,27
0,PADURI SRINIVAS REDDY,M,39,793,9,802,3183083,6,3,408
0,BANDI SUDHAKAR,M,39,4088,7,4095,3183083,6,3,null
0,MURARI.T.N,M,60,1388,2,1390,3183083,6,3,377
0,SATHYANARAYANA YAADAV PEDDIBOYINA,M,40,593,3,596,3183083,6,3,64
0,SUTHARAPU PADMAIAH,M,60,527,2,529,3183083,6,3,46
0,DR.N.V.SUDHA KIRAN,M,48,8264,37,8301,3183083,6,3,1
0,SURAKANTI VENKAT REDDY,M,50,2048,1,2049,3183083,6,3,292
0,ANJANEYULU.E,M,28,2675,2,2677,3183083,6,3,164
0,KANTE SAYANNA,M,35,2260,1,2261,3183083,6,3,164
0,KOYALKAR BHOJ RAJ,M,56,1547,0,1547,3183083,6,3,164
0,GAJABINKAR BANSILAL,M,47,1416,0,1416,3183083,6,3,164
0,DASARI BHARATH REDDY,M,28,1693,0,1693,3183083,6,3,164
0,PROF. K.NAGESHWAR,M,50,13037,202,13239,3183083,6,3,164
0,M.NAGESWARA RAO,M,60,1264,37,1301,3183083,6,3,164
0,PEESARI SATISH REDDY,M,32,1325,0,1325,3183083,6,3,164
0,POTTURI TULASI DAS,M,62,411,0,411,3183083,6,3,164
0,POLISETTY KRISHNA RAO,M,28,495,1,496,3183083,6,3,164
0,D.BIKSHAPATHI,M,40,5715,2,5717,3183083,6,3,164
0,RAHUL PANDIT,M,48,897,2,899,3183083,6,3,164
0,VATTIKUTI RAMARAO GOUD,M,28,1031,1,1032,3183083,6,3,164
0,M.T.VARUGHESE,M,50,1025,1,1026,3183083,6,3,164
0,B.VEERA HANUMANTHA REDDY,M,48,775,0,775,3183083,6,3,164
0,null,null,null,8666,26,8692,3183083,6,null,269
0,M.ANJAN KUMAR YADAV,M,53,183427,109,183536,1893741,7,3,163
0,KHAJA KHALID ANWAR,M,47,2856,7,2863,1893741,7,3,110
0,BANDARU DATTATREYA,M,66,437860,411,438271,1893741,7,3,80
0,T.BHEEMSEN,M,65,143696,151,143847,1893741,7,3,412
0,ABDUS SATTAR MUJAHED,M,48,807,2,809,1893741,7,3,9
0,DR.N.S.UDAY KUMAR,M,53,927,1,928,1893741,7,3,null
0,KARANKOTE NARENDER,M,52,474,0,474,1893741,7,3,25
0,KUMAR CHOWDARY YADAV.G,M,55,547,0,547,1893741,7,3,null
0,KHAJA SIRAJUDDIN AZAZ,M,49,957,2,959,1893741,7,3,null
0,CHAYA RATAN MUSINIPALLY,F,61,11162,22,11184,1893741,7,2,1
0,B.DEEPAK KUMAR,M,39,1813,0,1813,1893741,7,2,335
0,NARLA MOHAN RAO,M,47,145095,25,145120,1893741,7,3,27
0,DR.MALATHI LATHA EPPA,F,29,871,2,873,1893741,7,3,176
0,CH. MURAHARI,M,55,552,2,554,1893741,7,3,394
0,MOHD IMTIAZ HUSSAIN,M,35,784,2,786,1893741,7,3,173
0,RAGHU DESHABOINA,M,45,1494,2,1496,1893741,7,3,92
0,J.RAMULU,M,39,2057,1,2058,1893741,7,3,343
0,SHAKTHI SATYAVATHI,F,49,638,0,638,1893741,7,0,292
0,K. SRINIVASULU,M,42,3688,3,3691,1893741,7,3,null
0,SYED SAJID ALI,M,44,45161,26,45187,1893741,7,3,428
0,K.SAI KRISHNA MOHAN RAO,M,53,2599,4,2603,1893741,7,3,159
0,SONU SARSAL VALMIKI,M,29,2310,1,2311,1893741,7,2,407
0,ANANTH RAO GUNDEPALLY,M,43,779,0,779,1893741,7,3,164
0,AVULA RANGANAYAKULU,M,60,1143,1,1144,1893741,7,3,164
0,MICHAEL DANIEL OVELZ,M,41,291,0,291,1893741,7,3,164
0,MOHD ABUBAKAR PARWAIZ SIDDIQUI,M,38,322,0,322,1893741,7,3,164
0,MOHAMMED RIZWAN HUSSAIN,M,32,370,0,370,1893741,7,3,164
0,S. LAKSHMAN RAO,M,50,885,1,886,1893741,7,3,164
0,SYED MADANI QUADRI,M,53,376,0,376,1893741,7,3,164
0,B.SUBRAMANYAM,M,60,2480,1,2481,1893741,7,3,164
0,null,null,null,6567,5,6572,1893741,7,null,269
0,S KRISHNA REDDY,M,51,49301,9,49310,1823217,8,3,163
0,DR.BHAGAVANTH RAO,M,61,311336,78,311414,1823217,8,3,80
0,RASHID SHAREEF,M,53,37190,5,37195,1823217,8,3,412
0,VENU GOPAL.P,M,30,3100,0,3100,1823217,8,2,110
0,ASADUDDIN OWAISI,M,43,513777,91,513868,1823217,8,3,27
0,S.KHAJA MOINUDDIN,M,45,1592,1,1593,1823217,8,3,24
0,JAYA VINDHYALA,F,49,598,0,598,1823217,8,3,386
0,BINGHI RAJASHEKAR,M,38,21796,0,21796,1823217,8,3,292
0,BODDU SAINATH REDDY,M,36,10735,8,10743,1823217,8,3,428
0,N.MAHENDER SINGH,M,49,485,0,485,1823217,8,3,259
0,LUBNA SARWATH,F,49,6118,0,6118,1823217,8,3,1
0,SYED MUSTAFA MAHMOOD,M,45,2101,1,2102,1823217,8,3,234
0,MD OSMAN,M,52,728,0,728,1823217,8,3,164
0,SHAIK MOIN,M,46,626,0,626,1823217,8,3,164
0,SYED ABDUL GAFFER,M,56,740,0,740,1823217,8,3,164
0,M A HABEEB,M,37,5992,0,5992,1823217,8,3,164
0,null,null,null,5011,2,5013,1823217,8,null,269
1,KONDA VISHWESHWAR REDDY,M,54,431084,3993,435077,2185164,16,3,412
1,TULLA VEERENDER,M,31,352227,976,353203,2185164,16,3,406
1,PATLOLLA KARTIK REDDY,M,34,360834,1220,362054,2185164,16,3,163
1,SAMALA RAVINDAR,M,46,7713,19,7732,2185164,16,3,110
1,KUMMARI GIRI,M,33,5787,2,5789,2185164,16,3,292
1,KONDA RAGHAVA REDDY,M,54,40069,66,40135,2185164,16,3,428
1,DR.GOLLA RAMAIAH,M,73,1737,28,1765,2185164,16,3,408
1,CHAN PASHA,M,37,56832,3,56835,2185164,16,3,9
1,MD YUNUS MIYA,M,70,2901,3,2904,2185164,16,3,236
1,REGATTE VENKAT REDDY,M,54,7433,29,7462,2185164,16,3,1
1,SYED HASHMATHULLAH QUADRI,M,45,1399,12,1411,2185164,16,3,173
1,DR. P. SADHU SATYANADHAN,M,61,2487,58,2545,2185164,16,3,159
1,SUTHARAPU PADMAIAH,M,61,2211,3,2214,2185164,16,3,46
1,G.MALLESHAM GOUD,M,38,24650,10,24660,2185164,16,3,164
1,SANIKE RAM GOPAL YADAV,M,47,2056,2,2058,2185164,16,3,164
1,null,null,null,9989,29,10018,2185164,16,null,269
0,KADIRE KRISHNA,M,37,15690,89,15779,1418668,9,2,110
0,DR. JANARDHAN REDDY NAGAM,M,65,270102,2689,272791,1418668,9,3,80
0,JAIPAL REDDY SUDINI,M,72,330167,1471,331638,1418668,9,3,163
0,AP JITHENDER REDDY,M,60,332581,1647,334228,1418668,9,3,412
0,S.R.PREMAIAH,M,60,30379,9,30388,1418668,9,2,292
0,H.A. RAHMAN,M,44,9065,40,9105,1418668,9,3,428
0,IBRAHIM SYED,M,44,4487,62,4549,1418668,9,3,164
0,DR. CHANDRA SEKHAR. A,M,45,3983,50,4033,1418668,9,3,164
0,S. SHIVA SHANKAR,M,45,3242,10,3252,1418668,9,3,164
0,null,null,null,9016,21,9037,1418668,9,null,269
0,YELLAIAH NANDI,M,71,419040,1035,420075,1477305,10,2,163
0,BAKKANI NARSIMLU,M,63,182734,618,183352,1477305,10,2,406
0,BAHADHUR SRINIVAS,M,39,12022,67,12089,1477305,10,2,110
0,DR. MANDA JAGANNATH,M,63,401212,2187,403399,1477305,10,2,412
0,MAREDU GOPAL,M,63,22955,30,22985,1477305,10,2,428
0,BUDDULA SRINIVAS,M,39,54675,5,54680,1477305,10,2,164
0,null,null,null,12329,59,12388,1477305,10,null,269
0,KUNDARAPU RAMESH,M,46,11503,14,11517,1494343,11,3,110
0,GUTHA SUKHENDER REDDY,M,60,467984,4109,472093,1494343,11,3,163
0,TERA CHINNAPA REDDY,M,50,277433,1504,278937,1494343,11,3,406
0,NANDYALA NARSIMHA REDDY,M,58,54157,266,54423,1494343,11,3,126
0,DR. PALLA RAJESHWAR REDDY,M,50,257953,2724,260677,1494343,11,3,412
0,GUNNAM NAGI REDDY,M,64,39339,46,39385,1494343,11,3,428
0,TEJAVATH BELLAIAH NAIK,M,42,2297,11,2308,1494343,11,3,1
0,MANUPURI DAYA SAGAR,M,39,4481,14,4495,1494343,11,3,292
0,MARRI NEHEMIAH,M,58,56256,3,56259,1494343,11,3,164
0,null,null,null,9284,21,9305,1494343,11,null,269
0,ARVAPALLY AMBATI,M,34,9023,6,9029,1492240,12,3,110
0,INDRASENA REDDY NALLU,M,64,182849,400,183249,1492240,12,3,80
0,KOMATIREDDY RAJGOPAL REDDY,M,46,416240,1380,417620,1492240,12,3,163
0,CHERUPALLY SEETHARAMULU,M,60,53973,62,54035,1492240,12,3,126
0,DR. BOORA NARSAIAH GOUD,M,55,446822,1342,448164,1492240,12,3,412
0,KAPILAVAI DILEEP KUMAR,M,60,5550,1,5551,1492240,12,3,326
0,GUDURU JANARDHAN REDDY,M,41,2342,0,2342,1492240,12,3,null
0,GUAHATI MOTHILAL,M,45,2598,2,2600,1492240,12,3,27
0,NAGULA SRINIVAS YADAV,M,44,1852,6,1858,1492240,12,3,null
0,BOILLA NARENDER,M,32,6846,1,6847,1492240,12,2,334
0,NAVULLA MALLA REDDY,M,42,26805,0,26805,1492240,12,3,164
0,RAVULAPALLY KONDAL RAO,M,60,7720,1,7721,1492240,12,3,164
0,VARIKUPPALA KRISHNA VADDERA,M,45,35004,0,35004,1492240,12,3,164
0,null,null,null,10869,38,10907,1492240,12,null,269
0,KADIYAM SRIHARI,M,63,658828,2811,661639,1537778,13,2,412
0,GANNARAPU SURENDER,M,49,9489,47,9536,1537778,13,2,110
0,PARAMESHWAR RAMAGALLA,M,55,186742,397,187139,1537778,13,2,80
0,RAJAIAH SIRICILLA,M,61,268450,615,269065,1537778,13,2,163
0,CHINTHA SWAMY,M,44,5561,8,5569,1537778,13,2,1
0,THUPPARI NARASIMHA SWAMY,M,44,7350,0,7350,1537778,13,2,292
0,VENKANNA KANNAM,M,36,2257,1,2258,1537778,13,2,236
0,VENKANNA NEERUDU,M,38,2098,0,2098,1537778,13,2,92
0,VENU ESAMPELLY,M,37,1541,0,1541,1537778,13,2,25
0,KANAKAM RAMESH,M,34,2013,0,2013,1537778,13,2,164
0,CHILUVERU PRATHAP,M,40,9178,0,9178,1537778,13,2,164
0,JANNU MAHENDAR,M,33,3209,2,3211,1537778,13,2,164
0,null,null,null,14007,27,14034,1537778,13,null,269
0,PROF. AZMEERA SEETARAM NAIK,M,56,319388,1181,320569,1387288,14,0,412
0,P. BALRAM,M,49,283735,1842,285577,1387288,14,0,163
0,BANOTH MOHANLAL,M,49,215664,240,215904,1387288,14,0,406
0,BODA RAASI,F,29,6220,4,6224,1387288,14,0,110
0,KAVITHA RANI LUNAVATH,F,35,6633,4,6637,1387288,14,0,292
0,GUGULOTU JAGAN,M,37,3662,0,3662,1387288,14,0,236
0,TELLAM VENKATA RAO,M,46,127819,653,128472,1387288,14,0,428
0,EESAM SUDHAKAR,M,29,2193,0,2193,1387288,14,0,164
0,V. GOURI NAGAMANI,F,43,13580,83,13663,1387288,14,0,164
0,DATLA NAGESHWAR RAO,M,48,6833,20,6853,1387288,14,0,164
0,PADIGA YARRAIAH,M,69,3496,2,3498,1387288,14,0,164
0,PAYAM CHANDHAR RAO (CHINNA CHANDHRANNA),M,53,94029,15,94044,1387288,14,0,164
0,PONAKA SAMMAKKA,F,36,3443,0,3443,1387288,14,0,164
0,BALUNAYAK BHUKYA,M,34,3091,0,3091,1387288,14,0,164
0,METLA PAPAIAH,M,62,3882,43,3925,1387288,14,0,164
0,LAXMAN BUKYA,M,38,14029,5,14034,1387288,14,0,164
0,LAXMINARAYANA BORRA,M,38,5879,0,5879,1387288,14,0,164
0,null,null,null,6695,9,6704,1387288,14,null,269
0,KANKANALA NARAYANA,M,66,187266,436,187702,1440267,15,3,123
0,DODDA RAM BABU,M,48,4758,3,4761,1440267,15,3,110
0,NAMA NAGESWARA RAO,M,56,407614,2616,410230,1440267,15,3,406
0,BUDAN BAIG SHAIK,M,53,88944,180,89124,1440267,15,3,412
0,NAGARJUNA CHERUKURU,M,44,4994,8,5002,1440267,15,3,null
0,PONGULETI  SRINIVASA REDDY,M,48,418609,3825,422434,1440267,15,3,428
0,MEDARAMETLA  RAMA RAO,M,48,4136,3,4139,1440267,15,3,292
0,KANAKAM TIRUMALA RAO,M,27,917,0,917,1440267,15,2,164
0,KALTHI RAMULAMMA,F,39,983,0,983,1440267,15,0,164
0,KALTHI VENKATESWARLU,M,42,1063,0,1063,1440267,15,0,164
0,KAKI BHASKAR,M,43,5368,0,5368,1440267,15,3,164
0,GUGULOTHU RANJITH KUMAR,M,30,1434,0,1434,1440267,15,0,164
0,GUGULOTHU SARVAN,M,29,1491,0,1491,1440267,15,0,164
0,GOKINEPALLI VENKATESWARA RAO (GVR),M,56,8041,14,8055,1440267,15,3,164
0,JERRIPOTHULA SRINIVAS,M,38,1116,0,1116,1440267,15,2,164
0,NAGIREDDY RAJI REDDY (RAJANNA),M,38,4484,0,4484,1440267,15,3,164
0,BACHALA LAXMAIAH,M,55,6506,0,6506,1440267,15,0,164
0,BANOTH KISHAN NAYAK,M,33,1617,0,1617,1440267,15,0,164
0,BANOTH LAXMA NAIK,M,57,1342,0,1342,1440267,15,0,164
0,BUSIREDDY SHANKAR REDDY,M,53,964,0,964,1440267,15,3,164
0,MARIKANTI VASUDASU,M,69,879,0,879,1440267,15,3,164
0,MUDIGE NAGESWARA RAO,M,44,1202,0,1202,1440267,15,0,164
0,MOKALLA RAMESH,M,41,5401,0,5401,1440267,15,0,164
0,RAMESH KOMMU,M,42,1273,1,1274,1440267,15,2,164
0,RAMU KANDULA,M,35,1021,0,1021,1440267,15,2,164
0,LINGALA RAVI KUMAR,M,38,9459,1,9460,1440267,15,2,164
0,SANAPA POMMAIAH,M,50,889,0,889,1440267,15,0,164
0,null,null,null,4978,13,4991,1440267,15,null,269
1,KISHORE CHANDRA DEO,M,67,52574,310,52884,1272340,17,0,163
1,GUMMIDI SANDHYARANI,F,41,319846,1947,321793,1272340,17,0,406
1,MIDIYAM BABURAO,M,63,38254,644,38898,1272340,17,0,126
1,KOTHAPALLI GEETHA,F,43,410730,2461,413191,1272340,17,0,428
1,BURJABARIKI DHANARAJU,M,32,8539,30,8569,1272340,17,0,1
1,IILLA RAMI REDDY,M,60,5685,7,5692,1272340,17,0,164
1,KANGALA BALUDORA,M,58,23197,18,23215,1272340,17,0,164
1,CHETTI SANKARARAO,M,32,8934,17,8951,1272340,17,0,164
1,BIDDIKA RAMAIAH,M,52,7581,6,7587,1272340,17,0,164
1,VANUGU SANKARARAO,M,39,4591,23,4614,1272340,17,0,164
1,SALLANGI RATNAM,F,35,7648,40,7688,1272340,17,0,164
1,null,null,null,16496,36,16532,1272340,17,null,269
1,KILLI KRUPARANI,F,52,24038,133,24171,1413726,18,3,163
1,BODDEPALLI RAJARAO,M,47,8036,13,8049,1413726,18,3,110
1,RAMMOHAN NAIDU KINJARAPU,M,27,552348,4197,556545,1413726,18,3,406
1,KADIYAM JAYALAKSHMI,F,32,5023,3,5026,1413726,18,3,292
1,JAIDEV INJARAPU,M,41,2517,42,2559,1413726,18,3,1
1,PAIDI RAJA RAO,M,40,11334,89,11423,1413726,18,3,null
1,REDDY SHANTHI,F,45,426135,2718,428853,1413726,18,3,428
1,VASUDEVA RAO BODDU,M,41,5128,4,5132,1413726,18,3,124
1,KINJARAPU TEJESWARA RAO,M,31,2074,1,2075,1413726,18,3,164
1,TOTA TEJESWARA RAO,M,36,2143,1,2144,1413726,18,3,164
1,null,null,null,6100,38,6138,1413726,18,null,269
1,ASHOK GAJAPATHI RAJU PUSAPATI,M,62,534357,2192,536549,1403736,19,3,406
1,JHANSI LAKSHMI BOTCHA,F,50,122091,396,122487,1403736,19,3,163
1,BONU KRISHNA,M,50,4091,1,4092,1403736,19,2,110
1,TADIVAKA RAMESH NAIDU,M,44,3346,42,3388,1403736,19,3,null
1,NARU SIMHADRI NAIDU,M,58,2476,29,2505,1403736,19,3,1
1,PRASADA RAO NANDA,M,42,6396,5,6401,1403736,19,3,292
1,VENKATA SWETHA CHALAPATHI KUMARA KRISHNA RANGARAO RAVU,M,33,427629,2009,429638,1403736,19,3,428
1,YELLA RAO SIYYADULA,M,33,5125,0,5125,1403736,19,2,164
1,HARIKISHAN KUPPILI,M,37,3573,30,3603,1403736,19,3,164
1,null,null,null,6506,22,6528,1403736,19,null,269
1,IMANDI VENKATA KURMARAO,M,43,14941,6,14947,1723011,20,3,110
1,KAMBHAMPATI HARI BABU,M,60,565326,1506,566832,1723011,20,3,80
1,BOLISETTI SATYANARAYANA (SATYA),M,57,50605,27,50632,1723011,20,3,163
1,KUNA RAMAM,M,51,6147,28,6175,1723011,20,3,1
