sector,total_invst
"Plastic and Rubber",5855.609500000001
"Pharmaceuticals and Chemicals",2181.634200000001
"Real Estate,Industrial Parks and IT Buildings",2127.2963
"Solar and Other Renewable Energy",2052.985
Engineering,1877.4533000000004
